State,State Code,Month,Month Code,ICD Sub-Chapter,ICD Sub-Chapter Code,Cause of death,Cause of death Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Deaths,Population,Crude Rate
Alabama,1,"Oct., 2018",2018/10,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,25-34 years,25-34,10,Not Applicable,Not Applicable
Alabama,1,"Jan., 2019",2019/01,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,15-24 years,15-24,10,Not Applicable,Not Applicable
Alabama,1,"Jan., 2019",2019/01,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,13,Not Applicable,Not Applicable
Alabama,1,"Jan., 2019",2019/01,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,35-44 years,35-44,12,Not Applicable,Not Applicable
Alabama,1,"Feb., 2019",2019/02,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,10,Not Applicable,Not Applicable
Alabama,1,"Feb., 2019",2019/02,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,35-44 years,35-44,11,Not Applicable,Not Applicable
Alabama,1,"Mar., 2019",2019/03,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,15-24 years,15-24,11,Not Applicable,Not Applicable
Alabama,1,"Mar., 2019",2019/03,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,14,Not Applicable,Not Applicable
Alabama,1,"Apr., 2019",2019/04,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,25-34 years,25-34,10,Not Applicable,Not Applicable
Alabama,1,"Jun., 2019",2019/06,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,25-34 years,25-34,12,Not Applicable,Not Applicable
Alabama,1,"Jun., 2019",2019/06,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,11,Not Applicable,Not Applicable
Alabama,1,"Jul., 2019",2019/07,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,12,Not Applicable,Not Applicable
Alabama,1,"Aug., 2019",2019/08,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,11,Not Applicable,Not Applicable
Alabama,1,"Sep., 2019",2019/09,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,35-44 years,35-44,12,Not Applicable,Not Applicable
Alabama,1,"Oct., 2019",2019/10,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,25-34 years,25-34,11,Not Applicable,Not Applicable
Alabama,1,"Oct., 2019",2019/10,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,11,Not Applicable,Not Applicable
Alabama,1,"Dec., 2019",2019/12,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,15-24 years,15-24,18,Not Applicable,Not Applicable
Alabama,1,"Dec., 2019",2019/12,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,13,Not Applicable,Not Applicable
Alabama,1,"Dec., 2019",2019/12,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,12,Not Applicable,Not Applicable
Alabama,1,"Jan., 2020",2020/01,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,10,Not Applicable,Not Applicable
Alabama,1,"Jan., 2020",2020/01,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,11,Not Applicable,Not Applicable
Alabama,1,"Mar., 2020",2020/03,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,15-24 years,15-24,10,Not Applicable,Not Applicable
Alabama,1,"Mar., 2020",2020/03,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,35-44 years,35-44,12,Not Applicable,Not Applicable
Alabama,1,"Apr., 2020",2020/04,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,12,Not Applicable,Not Applicable
Alabama,1,"Apr., 2020",2020/04,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,11,Not Applicable,Not Applicable
Alabama,1,"May, 2020",2020/05,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,35-44 years,35-44,11,Not Applicable,Not Applicable
Alabama,1,"May, 2020",2020/05,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,22,Not Applicable,Not Applicable
Alabama,1,"Jun., 2020",2020/06,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,14,Not Applicable,Not Applicable
Alabama,1,"Jun., 2020",2020/06,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,11,Not Applicable,Not Applicable
Alabama,1,"Jul., 2020",2020/07,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,15,Not Applicable,Not Applicable
Alabama,1,"Aug., 2020",2020/08,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,17,Not Applicable,Not Applicable
Alabama,1,"Aug., 2020",2020/08,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,15,Not Applicable,Not Applicable
Alabama,1,"Sep., 2020",2020/09,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,11,Not Applicable,Not Applicable
Alabama,1,"Sep., 2020",2020/09,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,13,Not Applicable,Not Applicable
Alabama,1,"Oct., 2020",2020/10,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,15-24 years,15-24,11,Not Applicable,Not Applicable
Alabama,1,"Oct., 2020",2020/10,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,14,Not Applicable,Not Applicable
Alabama,1,"Oct., 2020",2020/10,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,15,Not Applicable,Not Applicable
Alabama,1,"Nov., 2020",2020/11,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,25-34 years,25-34,13,Not Applicable,Not Applicable
Alabama,1,"Nov., 2020",2020/11,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,11,Not Applicable,Not Applicable
Alabama,1,"Nov., 2020",2020/11,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,12,Not Applicable,Not Applicable
Alabama,1,"Nov., 2020",2020/11,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,35-44 years,35-44,10,Not Applicable,Not Applicable
Alabama,1,"Dec., 2020",2020/12,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,15-24 years,15-24,13,Not Applicable,Not Applicable
Alabama,1,"Dec., 2020",2020/12,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,16,Not Applicable,Not Applicable
Alabama,1,"Jan., 2021 ",2021/01,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,16,Not Applicable,Not Applicable
Alabama,1,"Jan., 2021 ",2021/01,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,19,Not Applicable,Not Applicable
Alabama,1,"Mar., 2021 ",2021/03,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,10,Not Applicable,Not Applicable
Alabama,1,"Apr., 2021 ",2021/04,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,20,Not Applicable,Not Applicable
Alabama,1,"Apr., 2021 ",2021/04,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,14,Not Applicable,Not Applicable
Alabama,1,"May, 2021 ",2021/05,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,16,Not Applicable,Not Applicable
Alabama,1,"May, 2021 ",2021/05,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,16,Not Applicable,Not Applicable
Alabama,1,"May, 2021 ",2021/05,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,35-44 years,35-44,10,Not Applicable,Not Applicable
Alabama,1,"Jun., 2021 ",2021/06,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,15-24 years,15-24,13,Not Applicable,Not Applicable
Alabama,1,"Jun., 2021 ",2021/06,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,18,Not Applicable,Not Applicable
Alabama,1,"Jun., 2021 ",2021/06,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,17,Not Applicable,Not Applicable
Alabama,1,"Jun., 2021 ",2021/06,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,35-44 years,35-44,10,Not Applicable,Not Applicable
Alabama,1,"Jul., 2021 ",2021/07,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,19,Not Applicable,Not Applicable
Alabama,1,"Jul., 2021 ",2021/07,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,15,Not Applicable,Not Applicable
Alabama,1,"Aug., 2021 ",2021/08,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,13,Not Applicable,Not Applicable
Alabama,1,"Aug., 2021 ",2021/08,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,17,Not Applicable,Not Applicable
Alabama,1,"Sep., 2021 ",2021/09,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,14,Not Applicable,Not Applicable
Alabama,1,"Sep., 2021 ",2021/09,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,13,Not Applicable,Not Applicable
Alabama,1,"Sep., 2021 ",2021/09,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,35-44 years,35-44,10,Not Applicable,Not Applicable
Alabama,1,"Oct., 2021 ",2021/10,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,25-34 years,25-34,11,Not Applicable,Not Applicable
Alabama,1,"Oct., 2021 ",2021/10,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,17,Not Applicable,Not Applicable
Alabama,1,"Oct., 2021 ",2021/10,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,19,Not Applicable,Not Applicable
Alabama,1,"Nov., 2021 ",2021/11,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,12,Not Applicable,Not Applicable
Alabama,1,"Nov., 2021 ",2021/11,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,13,Not Applicable,Not Applicable
Alabama,1,"Dec., 2021 ",2021/12,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,25-34 years,25-34,10,Not Applicable,Not Applicable
Alabama,1,"Dec., 2021 ",2021/12,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,13,Not Applicable,Not Applicable
Alabama,1,"Dec., 2021 ",2021/12,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,12,Not Applicable,Not Applicable
Alabama,1,"Dec., 2021 ",2021/12,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,35-44 years,35-44,10,Not Applicable,Not Applicable
Arizona,4,"Jan., 2018",2018/01,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,55-64 years,55-64,10,Not Applicable,Not Applicable
Arizona,4,"Apr., 2018",2018/04,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,11,Not Applicable,Not Applicable
Arizona,4,"May, 2018",2018/05,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,25-34 years,25-34,10,Not Applicable,Not Applicable
Arizona,4,"Jul., 2018",2018/07,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,15-24 years,15-24,11,Not Applicable,Not Applicable
Arizona,4,"Jul., 2018",2018/07,Other external causes of accidental injury,W00-X59,Exposure to excessive natural heat,X30,65-74 years,65-74,13,Not Applicable,Not Applicable
Arizona,4,"Oct., 2018",2018/10,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,15-24 years,15-24,13,Not Applicable,Not Applicable
Arizona,4,"Nov., 2018",2018/11,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,12,Not Applicable,Not Applicable
Arizona,4,"Apr., 2019",2019/04,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,11,Not Applicable,Not Applicable
Arizona,4,"May, 2019",2019/05,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,15-24 years,15-24,12,Not Applicable,Not Applicable
Arizona,4,"Jun., 2019",2019/06,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,10,Not Applicable,Not Applicable
Arizona,4,"Jul., 2019",2019/07,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,25-34 years,25-34,10,Not Applicable,Not Applicable
Arizona,4,"Aug., 2019",2019/08,Other external causes of accidental injury,W00-X59,Exposure to excessive natural heat,X30,55-64 years,55-64,10,Not Applicable,Not Applicable
Arizona,4,"Dec., 2019",2019/12,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,12,Not Applicable,Not Applicable
Arizona,4,"Feb., 2020",2020/02,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,15-24 years,15-24,13,Not Applicable,Not Applicable
Arizona,4,"Feb., 2020",2020/02,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,25-34 years,25-34,14,Not Applicable,Not Applicable
Arizona,4,"May, 2020",2020/05,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,10,Not Applicable,Not Applicable
Arizona,4,"Jun., 2020",2020/06,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,15-24 years,15-24,10,Not Applicable,Not Applicable
Arizona,4,"Jun., 2020",2020/06,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,10,Not Applicable,Not Applicable
Arizona,4,"Jul., 2020",2020/07,Other external causes of accidental injury,W00-X59,Exposure to excessive natural heat,X30,45-54 years,45-54,10,Not Applicable,Not Applicable
Arizona,4,"Jul., 2020",2020/07,Other external causes of accidental injury,W00-X59,Exposure to excessive natural heat,X30,55-64 years,55-64,19,Not Applicable,Not Applicable
Arizona,4,"Jul., 2020",2020/07,Other external causes of accidental injury,W00-X59,Exposure to excessive natural heat,X30,65-74 years,65-74,19,Not Applicable,Not Applicable
Arizona,4,"Jul., 2020",2020/07,Other external causes of accidental injury,W00-X59,Exposure to excessive natural heat,X30,75-84 years,75-84,10,Not Applicable,Not Applicable
Arizona,4,"Aug., 2020",2020/08,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,25-34 years,25-34,13,Not Applicable,Not Applicable
Arizona,4,"Aug., 2020",2020/08,Other external causes of accidental injury,W00-X59,Exposure to excessive natural heat,X30,45-54 years,45-54,11,Not Applicable,Not Applicable
Arizona,4,"Aug., 2020",2020/08,Other external causes of accidental injury,W00-X59,Exposure to excessive natural heat,X30,55-64 years,55-64,16,Not Applicable,Not Applicable
Arizona,4,"Aug., 2020",2020/08,Other external causes of accidental injury,W00-X59,Exposure to excessive natural heat,X30,65-74 years,65-74,13,Not Applicable,Not Applicable
Arizona,4,"Aug., 2020",2020/08,Other external causes of accidental injury,W00-X59,Exposure to excessive natural heat,X30,75-84 years,75-84,23,Not Applicable,Not Applicable
Arizona,4,"Aug., 2020",2020/08,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,13,Not Applicable,Not Applicable
Arizona,4,"Aug., 2020",2020/08,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,10,Not Applicable,Not Applicable
Arizona,4,"Aug., 2020",2020/08,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,35-44 years,35-44,11,Not Applicable,Not Applicable
Arizona,4,"Sep., 2020",2020/09,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,15-24 years,15-24,13,Not Applicable,Not Applicable
Arizona,4,"Sep., 2020",2020/09,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,25-34 years,25-34,13,Not Applicable,Not Applicable
Arizona,4,"Sep., 2020",2020/09,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,11,Not Applicable,Not Applicable
Arizona,4,"Sep., 2020",2020/09,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,12,Not Applicable,Not Applicable
Arizona,4,"Oct., 2020",2020/10,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,15-24 years,15-24,10,Not Applicable,Not Applicable
Arizona,4,"Oct., 2020",2020/10,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,25-34 years,25-34,10,Not Applicable,Not Applicable
Arizona,4,"Oct., 2020",2020/10,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,10,Not Applicable,Not Applicable
Arizona,4,"Oct., 2020",2020/10,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,13,Not Applicable,Not Applicable
Arizona,4,"Oct., 2020",2020/10,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,35-44 years,35-44,11,Not Applicable,Not Applicable
Arizona,4,"Nov., 2020",2020/11,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,11,Not Applicable,Not Applicable
Arizona,4,"Dec., 2020",2020/12,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,15-24 years,15-24,15,Not Applicable,Not Applicable
Arizona,4,"Dec., 2020",2020/12,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,35-44 years,35-44,11,Not Applicable,Not Applicable
Arizona,4,"Dec., 2020",2020/12,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,11,Not Applicable,Not Applicable
Arizona,4,"Jan., 2021 ",2021/01,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,35-44 years,35-44,11,Not Applicable,Not Applicable
Arizona,4,"Feb., 2021 ",2021/02,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,12,Not Applicable,Not Applicable
Arizona,4,"Mar., 2021 ",2021/03,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,13,Not Applicable,Not Applicable
Arizona,4,"Apr., 2021 ",2021/04,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,15-24 years,15-24,10,Not Applicable,Not Applicable
Arizona,4,"Apr., 2021 ",2021/04,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,35-44 years,35-44,14,Not Applicable,Not Applicable
Arizona,4,"Apr., 2021 ",2021/04,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,45-54 years,45-54,11,Not Applicable,Not Applicable
Arizona,4,"Apr., 2021 ",2021/04,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,12,Not Applicable,Not Applicable
Arizona,4,"May, 2021 ",2021/05,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,15-24 years,15-24,13,Not Applicable,Not Applicable
Arizona,4,"May, 2021 ",2021/05,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,25-34 years,25-34,10,Not Applicable,Not Applicable
Arizona,4,"May, 2021 ",2021/05,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,12,Not Applicable,Not Applicable
Arizona,4,"May, 2021 ",2021/05,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,35-44 years,35-44,11,Not Applicable,Not Applicable
Arizona,4,"Jun., 2021 ",2021/06,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,15-24 years,15-24,22,Not Applicable,Not Applicable
Arizona,4,"Jun., 2021 ",2021/06,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,25-34 years,25-34,11,Not Applicable,Not Applicable
Arizona,4,"Jun., 2021 ",2021/06,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,45-54 years,45-54,11,Not Applicable,Not Applicable
Arizona,4,"Jun., 2021 ",2021/06,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,55-64 years,55-64,11,Not Applicable,Not Applicable
Arizona,4,"Jun., 2021 ",2021/06,Other external causes of accidental injury,W00-X59,Exposure to excessive natural heat,X30,55-64 years,55-64,11,Not Applicable,Not Applicable
Arizona,4,"Jun., 2021 ",2021/06,Other external causes of accidental injury,W00-X59,Exposure to excessive natural heat,X30,65-74 years,65-74,17,Not Applicable,Not Applicable
Arizona,4,"Jun., 2021 ",2021/06,Other external causes of accidental injury,W00-X59,Exposure to excessive natural heat,X30,75-84 years,75-84,11,Not Applicable,Not Applicable
Arizona,4,"Jul., 2021 ",2021/07,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,15-24 years,15-24,14,Not Applicable,Not Applicable
Arizona,4,"Jul., 2021 ",2021/07,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,25-34 years,25-34,15,Not Applicable,Not Applicable
Arizona,4,"Jul., 2021 ",2021/07,Other external causes of accidental injury,W00-X59,Exposure to excessive natural heat,X30,55-64 years,55-64,12,Not Applicable,Not Applicable
Arizona,4,"Jul., 2021 ",2021/07,Other external causes of accidental injury,W00-X59,Exposure to excessive natural heat,X30,65-74 years,65-74,18,Not Applicable,Not Applicable
Arizona,4,"Jul., 2021 ",2021/07,Other external causes of accidental injury,W00-X59,Exposure to excessive natural heat,X30,75-84 years,75-84,10,Not Applicable,Not Applicable
Arizona,4,"Jul., 2021 ",2021/07,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,17,Not Applicable,Not Applicable
Arizona,4,"Jul., 2021 ",2021/07,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,13,Not Applicable,Not Applicable
Arizona,4,"Aug., 2021 ",2021/08,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,15-24 years,15-24,13,Not Applicable,Not Applicable
Arizona,4,"Aug., 2021 ",2021/08,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,25-34 years,25-34,10,Not Applicable,Not Applicable
Arizona,4,"Aug., 2021 ",2021/08,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,12,Not Applicable,Not Applicable
Arizona,4,"Aug., 2021 ",2021/08,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,13,Not Applicable,Not Applicable
Arizona,4,"Sep., 2021 ",2021/09,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,15-24 years,15-24,11,Not Applicable,Not Applicable
Arizona,4,"Sep., 2021 ",2021/09,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,25-34 years,25-34,10,Not Applicable,Not Applicable
Arizona,4,"Oct., 2021 ",2021/10,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,15-24 years,15-24,13,Not Applicable,Not Applicable
Arizona,4,"Oct., 2021 ",2021/10,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,10,Not Applicable,Not Applicable
Arizona,4,"Oct., 2021 ",2021/10,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,13,Not Applicable,Not Applicable
Arizona,4,"Nov., 2021 ",2021/11,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,25-34 years,25-34,11,Not Applicable,Not Applicable
Arizona,4,"Nov., 2021 ",2021/11,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,16,Not Applicable,Not Applicable
Arizona,4,"Nov., 2021 ",2021/11,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,10,Not Applicable,Not Applicable
Arizona,4,"Dec., 2021 ",2021/12,Transport accidents,V01-V99,Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,55-64 years,55-64,11,Not Applicable,Not Applicable
